location_name,lat,lon,area_cluster,is_beach,is_crowded,is_tourist_place,is_transit,hour,day_night,day_of_week,is_weekend,police_nearby,risk_harassment,risk_pickpocket,risk_scam,risk_bag_snatching,risk_theft,risk_extortion,risk_money_theft
Kandy City Centre,7.290294,80.636613,2,0,1,1,0,7,day,6,1,0,Low,High,Low,Low,Low,Low,High
Kuruduwaththa Station,6.920607,79.874896,1,0,1,0,1,15,day,3,0,0,Low,Medium,Low,Medium,Low,Low,Medium
Polonnaruwa,7.942625,81.020459,11,0,1,1,0,7,day,6,1,0,Low,Low,High,Low,Low,Low,Low
Sigiriya,7.960502,80.760121,10,0,1,1,0,11,day,3,0,0,Low,Low,High,Low,Low,Low,Low
Ella Station,6.860847,81.046531,8,0,1,1,1,13,day,2,0,0,Low,Medium,Low,Medium,Low,Low,Medium
Dambulla Cave,7.856417,80.649559,10,0,1,1,0,16,day,2,0,0,Low,Medium,High,Low,Low,Low,Low
Kaluthara Beach,6.590348,79.963912,4,1,1,1,0,15,day,0,0,0,Medium,Low,Low,Low,Low,Low,Low
Kollupitiya,6.911215,79.849151,1,0,1,1,0,7,day,3,0,0,Low,Medium,Low,Low,Low,Low,Medium
Unawatuna Beach,6.010532,80.249587,4,1,1,1,0,14,day,3,0,0,Medium,Low,Low,Low,Low,Low,Low
Kandy Station,7.29432,80.634197,2,0,1,0,1,10,day,4,0,0,Low,High,Low,High,Low,Low,Medium
Unawatuna Beach,6.010503,80.247892,4,1,1,1,0,18,night,6,1,0,High,Low,Low,Low,Medium,Low,Low
Ahangama Beach,5.971477,80.361163,4,1,1,1,0,17,day,6,1,0,High,Low,Low,Low,Medium,Low,Low
Kandy City Centre,7.290437,80.632545,2,0,1,1,0,15,day,0,0,1,Low,Medium,Low,Low,Low,Low,Medium
Sigiriya,7.953893,80.757443,10,0,1,1,0,11,day,1,0,0,Low,Low,High,Low,Low,Low,Low
Kandy City Centre,7.296826,80.639347,2,0,1,1,0,15,day,6,1,0,Low,High,Medium,High,Low,Low,High
Kandy Station,7.28931,80.637681,2,0,1,0,1,6,day,6,1,0,Low,High,Low,High,Low,Low,Medium
Kuruduwaththa Station,6.922679,79.875489,1,0,1,0,1,19,night,2,0,1,Low,Low,Low,Medium,Low,Low,Low
Ahangama Beach,5.975738,80.357651,4,1,1,1,0,18,night,1,0,0,Medium,Low,Low,Low,Medium,Low,Low
Polonnaruwa,7.940856,81.020076,11,0,1,1,0,18,night,4,0,0,Low,Medium,Medium,Low,Low,Low,Low
Mount Lavinia Station,6.837943,79.863269,9,1,1,1,1,17,day,2,0,0,Low,High,Low,High,Low,Low,Medium
Ella Station,6.869401,81.047454,8,0,1,1,1,10,day,5,1,0,Low,High,Low,High,Low,Low,Medium
Ella Station,6.871702,81.05067,8,0,1,1,1,15,day,4,0,0,Low,Medium,Low,Medium,Low,Low,Medium
Hatton Railway Station,6.88673,80.595927,17,0,1,1,1,17,day,1,0,0,Low,High,Low,High,Low,Low,Medium
Negombo Beach,7.20565,79.838072,5,1,1,1,0,14,day,5,1,0,Medium,Low,Low,Low,Medium,Low,Low
Bentota Beach,6.424746,79.989623,4,1,1,1,0,1,night,0,0,0,High,Low,Low,Low,High,Medium,Low
Kollupitiya,6.917722,79.846235,1,0,1,1,0,21,night,0,0,0,Low,Low,Low,Low,Medium,Low,Low
Haputale Railway Station,6.767254,80.969514,19,0,1,1,1,13,day,4,0,0,Low,Medium,Low,Medium,Low,Low,Medium
Galle Fort,6.032086,80.216938,3,0,1,1,0,16,day,2,0,0,Low,Medium,High,Low,Low,Low,Low
Kandy Station,7.294896,80.640824,2,0,1,0,1,10,day,1,0,0,Low,High,Low,High,Low,Low,Medium
Pettah Station,6.936915,79.85509,1,0,1,0,1,13,day,3,0,0,Low,Medium,Low,Medium,Low,Low,Medium
Polonnaruwa,7.935616,81.02331,11,0,1,1,0,9,day,0,0,1,Low,Low,Medium,Low,Low,Low,Low
Pettah Market,6.937617,79.852936,1,0,1,1,0,8,day,6,1,0,Low,High,Low,Low,Low,Low,High
Kuruduwaththa Station,6.925029,79.867163,1,0,1,0,1,15,day,2,0,0,Low,Medium,Low,Medium,Low,Low,Medium
Kuruduwaththa Station,6.921016,79.867186,1,0,1,0,1,7,day,4,0,1,Low,Low,Low,Medium,Low,Low,Low
Haputale Railway Station,6.772958,80.963656,19,0,1,1,1,18,night,1,0,0,Low,High,Low,High,Low,Low,Medium
Bentota Beach,6.429312,79.997126,4,1,1,1,0,4,night,4,0,1,Medium,Low,Low,Low,Low,Low,Low
Mount Lavinia Station,6.84557,79.867022,9,1,1,1,1,10,day,5,1,0,Low,High,Low,High,Low,Low,Medium
Bandarawela Railway Station,6.827303,80.985353,18,0,1,0,1,15,day,4,0,0,Low,Medium,Low,Medium,Low,Low,Medium
Galkissa Beach,6.842918,79.864572,9,1,1,1,0,2,night,2,0,0,High,Low,Low,Low,High,Medium,Low
Kuruduwaththa Station,6.916921,79.87369,1,0,1,0,1,15,day,3,0,0,Low,Medium,Low,Medium,Low,Low,Medium
Mount Lavinia Station,6.839242,79.864277,9,1,1,1,1,13,day,6,1,0,Low,Medium,Low,High,Low,Low,Medium
Kuruduwaththa Station,6.918422,79.870533,1,0,1,0,1,17,day,6,1,0,Low,High,Low,High,Low,Low,Medium
Kandy Station,7.294101,80.635393,2,0,1,0,1,7,day,3,0,0,Low,High,Low,High,Low,Low,Medium
Kandy City Centre,7.297218,80.636108,2,0,1,1,0,13,day,0,0,0,Low,High,Low,High,Low,Low,High
Kandy City Centre,7.295417,80.642267,2,0,1,1,0,18,night,0,0,0,Low,High,Low,Medium,Low,Low,Medium
Kollupitiya,6.916008,79.842403,1,0,1,1,0,13,day,6,1,0,Low,High,Medium,High,Low,Low,High
Ahangama Beach,5.972933,80.369441,4,1,1,1,0,17,day,6,1,0,High,Low,Low,Low,Medium,Low,Low
Bentota Beach,6.427278,79.996955,4,1,1,1,0,14,day,2,0,0,Medium,Low,Low,Low,Low,Low,Low
Kollupitiya,6.915123,79.854766,1,0,1,1,0,8,day,5,1,0,Low,High,Low,Low,Low,Low,High
Ella Station,6.865267,81.042335,8,0,1,1,1,5,night,3,0,0,Low,High,Low,High,Low,Low,Medium
Polonnaruwa,7.931512,81.024959,11,0,1,1,0,11,day,6,1,0,Low,Low,High,Low,Low,Low,Low
Ella Station,6.866756,81.042585,8,0,1,1,1,5,night,0,0,0,Low,High,Low,High,Low,Low,Medium
Galle Fort,6.037887,80.222492,3,0,1,1,0,19,night,4,0,0,Low,Medium,Medium,Low,Low,Low,Low
Mount Lavinia Station,6.841326,79.86129,9,1,1,1,1,14,day,0,0,0,Low,Medium,Low,Medium,Low,Low,Medium
Colombo Fort Station,6.935933,79.843683,1,0,1,0,1,6,day,0,0,0,Low,High,Low,High,Low,Low,Medium
Kandy Station,7.291816,80.634807,2,0,1,0,1,10,day,1,0,0,Low,High,Low,High,Low,Low,Medium
Hatton Railway Station,6.893234,80.603305,17,0,1,1,1,12,day,6,1,0,Low,Medium,Low,High,Low,Low,Medium
Colombo Fort Station,6.932451,79.84893,1,0,1,0,1,10,day,5,1,1,Low,Medium,Low,Medium,Low,Low,Low
Haputale Railway Station,6.767669,80.966517,19,0,1,1,1,8,day,5,1,0,Low,High,Low,High,Low,Low,Medium
Kuruduwaththa Station,6.923662,79.86737,1,0,1,0,1,11,day,4,0,0,Low,High,Low,High,Low,Low,Medium
Ahungalla Beach,6.328004,80.024526,4,1,1,1,0,19,night,0,0,0,Medium,Low,Low,Low,Medium,Low,Low
Pettah Station,6.937113,79.856273,1,0,1,0,1,11,day,4,0,0,Low,High,Low,High,Low,Low,Medium
Unawatuna Beach,6.012308,80.24222,4,1,1,1,0,23,night,1,0,0,High,Low,Low,Low,High,Medium,Low
Dambulla Cave,7.853803,80.653187,10,0,1,1,0,7,day,1,0,0,Low,Low,High,Low,Low,Low,Low
Polonnaruwa,7.938555,81.015278,11,0,1,1,0,15,day,3,0,1,Low,Low,Medium,Low,Low,Low,Low
Negombo Beach,7.210837,79.833363,5,1,1,1,0,2,night,2,0,1,Medium,Low,Low,Low,Low,Low,Low
Kollupitiya,6.918829,79.850939,1,0,1,1,0,16,day,5,1,0,Low,High,Medium,High,Low,Low,High
Sigiriya,7.95138,80.759603,10,0,1,1,0,16,day,0,0,1,Low,Low,Medium,Low,Low,Low,Low
Polonnaruwa,7.942222,81.019169,11,0,1,1,0,8,day,3,0,1,Low,Low,Medium,Low,Low,Low,Low
Ahangama Beach,5.974287,80.366523,4,1,1,1,0,19,night,4,0,0,Medium,Low,Low,Low,Medium,Low,Low
Polonnaruwa,7.939408,81.022736,11,0,1,1,0,16,day,6,1,0,Low,Medium,High,Low,Low,Low,Low
Kollupitiya,6.920461,79.846331,1,0,1,1,0,6,day,0,0,0,Low,Medium,Low,Low,Low,Low,Medium
Nilaveli Beach,8.703719,81.182111,6,1,0,1,0,1,night,5,1,0,Medium,Low,Low,Low,Low,Low,Low
Galle Fort Market,6.032105,80.218512,3,0,1,1,0,20,night,0,0,0,Low,High,Low,Medium,Low,Low,Medium
Kaluthara Beach,6.592311,79.956262,4,1,1,1,0,15,day,5,1,0,Medium,Low,Low,Low,Medium,Low,Low
Kaluthara Beach,6.58248,79.963721,4,1,1,1,0,19,night,0,0,0,Medium,Low,Low,Low,Medium,Low,Low
Galle Fort Market,6.029908,80.216018,3,0,1,1,0,9,day,1,0,0,Low,Medium,Low,Low,Low,Low,Medium
Kuruduwaththa Station,6.926149,79.870002,1,0,1,0,1,9,day,5,1,0,Low,High,Low,High,Low,Low,Medium
Pettah Station,6.939602,79.855334,1,0,1,0,1,20,night,2,0,0,Low,High,Low,High,Low,Low,Medium
Pettah Market,6.941579,79.856004,1,0,1,1,0,15,day,6,1,0,Low,High,Medium,High,Low,Low,High
Galle Fort,6.032092,80.219033,3,0,1,1,0,16,day,6,1,1,Low,Low,Medium,Low,Low,Low,Low
Bentota Beach,6.424983,79.99681,4,1,1,1,0,21,night,3,0,0,High,Low,Low,Low,High,Medium,Low
Galle Fort,6.031309,80.216252,3,0,1,1,0,12,day,0,0,0,Low,Medium,High,Low,Low,Low,Low
Mount Lavinia Station,6.843149,79.864007,9,1,1,1,1,18,night,5,1,0,Low,High,Low,High,Low,Low,Medium
Galkissa Beach,6.840822,79.859041,9,1,1,1,0,14,day,4,0,0,Medium,Low,Low,Low,Low,Low,Low
Kuruduwaththa Station,6.91892,79.867816,1,0,1,0,1,17,day,6,1,0,Low,High,Low,High,Low,Low,Medium
Kuruduwaththa Station,6.919574,79.871016,1,0,1,0,1,18,night,1,0,0,Low,High,Low,High,Low,Low,Medium
Kaluthara Beach,6.588488,79.963317,4,1,1,1,0,15,day,2,0,0,Medium,Low,Low,Low,Low,Low,Low
Polonnaruwa,7.940106,81.019019,11,0,1,1,0,5,night,5,1,1,Low,Low,Medium,Low,Low,Low,Low
Haputale Railway Station,6.767236,80.970388,19,0,1,1,1,8,day,5,1,1,Low,Medium,Low,Medium,Low,Low,Low
Colombo Fort Station,6.940456,79.850794,1,0,1,0,1,12,day,6,1,0,Low,Medium,Low,High,Low,Low,Medium
Kandy Station,7.2945,80.637518,2,0,1,0,1,6,day,6,1,0,Low,High,Low,High,Low,Low,Medium
Bandarawela Railway Station,6.829685,80.986798,18,0,1,0,1,11,day,6,1,0,Low,High,Low,High,Low,Low,Medium
Kollupitiya,6.917896,79.854358,1,0,1,1,0,9,day,2,0,0,Low,Medium,Low,Low,Low,Low,Medium
Kuruduwaththa Station,6.921272,79.870118,1,0,1,0,1,10,day,2,0,0,Low,High,Low,High,Low,Low,Medium
Kandy Station,7.293743,80.628602,2,0,1,0,1,11,day,6,1,0,Low,High,Low,High,Low,Low,Medium
Pettah Station,6.949229,79.861924,1,0,1,0,1,7,day,6,1,0,Low,High,Low,High,Low,Low,Medium
Negombo Beach,7.203886,79.830441,5,1,1,1,0,17,day,1,0,0,Medium,Low,Low,Low,Medium,Low,Low
Galle Fort,6.034291,80.220009,3,0,1,1,0,11,day,3,0,0,Low,Low,High,Low,Low,Low,Low
Galkissa Beach,6.838361,79.86777,9,1,1,1,0,13,day,6,1,0,Medium,Low,Low,Low,Medium,Low,Low
Ahungalla Beach,6.323774,80.027011,4,1,1,1,0,0,night,3,0,0,High,Low,Low,Low,High,Medium,Low
Kollupitiya,6.914249,79.84902,1,0,1,1,0,9,day,2,0,0,Low,Medium,Low,Low,Low,Low,Medium
Galle Fort,6.034558,80.215563,3,0,1,1,0,7,day,6,1,0,Low,Low,High,Low,Low,Low,Low
Kandy Station,7.292924,80.634023,2,0,1,0,1,17,day,6,1,0,Low,High,Low,High,Low,Low,Medium
Kuruduwaththa Station,6.919507,79.870636,1,0,1,0,1,9,day,2,0,1,Low,Low,Low,Medium,Low,Low,Low
Pettah Market,6.935334,79.848999,1,0,1,1,0,13,day,1,0,0,Low,High,Low,High,Low,Low,High
Temple of Tooth,7.295765,80.643532,2,0,1,1,0,14,day,1,0,1,Low,Low,Medium,Low,Low,Low,Low
Kollupitiya,6.913552,79.849629,1,0,1,1,0,8,day,3,0,0,Low,Medium,Low,Low,Low,Low,Medium
Mirissa Beach,5.9455,80.459108,4,1,1,1,0,22,night,3,0,0,High,Low,Low,Low,High,Medium,Low
Polonnaruwa,7.93829,81.022315,11,0,1,1,0,14,day,1,0,1,Low,Low,Medium,Low,Low,Low,Low
Sigiriya,7.960446,80.761143,10,0,1,1,0,5,night,2,0,1,Low,Low,Medium,Low,Low,Low,Low
Sigiriya,7.960613,80.760839,10,0,1,1,0,11,day,1,0,0,Low,Low,High,Low,Low,Low,Low
Haputale Railway Station,6.764857,80.964571,19,0,1,1,1,9,day,5,1,0,Low,High,Low,High,Low,Low,Medium
Haputale Railway Station,6.771526,80.969185,19,0,1,1,1,10,day,6,1,0,Low,High,Low,High,Low,Low,Medium
Kandy City Centre,7.294859,80.642761,2,0,1,1,0,19,night,4,0,0,Low,High,Low,Medium,Low,Low,Medium
Galle Fort,6.028629,80.217273,3,0,1,1,0,7,day,6,1,0,Low,Low,High,Low,Low,Low,Low
Haputale Railway Station,6.76955,80.967429,19,0,1,1,1,4,night,2,0,0,Low,Low,Low,Low,Medium,Low,Low
Ahungalla Beach,6.321169,80.020429,4,1,1,1,0,21,night,3,0,0,High,Low,Low,Low,High,Medium,Low
Sigiriya,7.958979,80.761448,10,0,1,1,0,10,day,3,0,0,Low,Low,High,Low,Low,Low,Low
Kandy City Centre,7.292721,80.640805,2,0,1,1,0,17,day,6,1,0,Low,High,Low,Medium,Low,Low,High
Galle Fort Market,6.027232,80.21631,3,0,1,1,0,11,day,5,1,0,Low,High,Low,Low,Low,Low,High
Kollupitiya,6.919544,79.849034,1,0,1,1,0,10,day,5,1,0,Low,High,Low,Low,Low,Low,High
Galle Fort Market,6.030658,80.21449,3,0,1,1,0,13,day,1,0,0,Low,High,Low,High,Low,Low,High
Kollupitiya,6.914438,79.851645,1,0,1,1,0,12,day,6,1,1,Low,Medium,Low,Low,Low,Low,Medium
Pettah Station,6.945067,79.855673,1,0,1,0,1,9,day,3,0,1,Low,Low,Low,Medium,Low,Low,Low
Kandy Station,7.291109,80.627829,2,0,1,0,1,18,night,2,0,1,Low,Low,Low,Medium,Low,Low,Low
Kaluthara Beach,6.586946,79.958197,4,1,1,1,0,13,day,5,1,0,Medium,Low,Low,Low,Medium,Low,Low
Temple of Tooth,7.292058,80.639266,2,0,1,1,0,4,night,2,0,0,Low,Medium,Low,Low,Low,Low,Low
Kollupitiya,6.918051,79.850559,1,0,1,1,0,15,day,3,0,0,Low,High,Low,High,Low,Low,High
Haputale Railway Station,6.766848,80.969007,19,0,1,1,1,9,day,0,0,0,Low,High,Low,High,Low,Low,Medium
Ella Station,6.864875,81.047189,8,0,1,1,1,9,day,4,0,0,Low,High,Low,High,Low,Low,Medium
Sigiriya,7.962946,80.763572,10,0,1,1,0,7,day,3,0,1,Low,Low,Medium,Low,Low,Low,Low
Kollupitiya,6.92047,79.847676,1,0,1,1,0,11,day,2,0,0,Low,Medium,Low,Low,Low,Low,Medium
Sigiriya,7.950974,80.761953,10,0,1,1,0,20,night,6,1,0,Low,Medium,High,Low,Low,Low,Low
Negombo Beach,7.202605,79.835885,5,1,1,1,0,16,day,0,0,0,Medium,Low,Low,Low,Low,Low,Low
Unawatuna Beach,6.01573,80.250782,4,1,1,1,0,12,day,0,0,0,Medium,Low,Low,Low,Low,Low,Low
Haputale Railway Station,6.765235,80.9686,19,0,1,1,1,8,day,4,0,0,Low,High,Low,High,Low,Low,Medium
Mirissa Beach,5.946463,80.456563,4,1,1,1,0,18,night,2,0,0,Medium,Low,Low,Low,Medium,Low,Low
Mount Lavinia Station,6.845596,79.867706,9,1,1,1,1,9,day,5,1,1,Low,Medium,Low,Medium,Low,Low,Low
Pettah Market,6.936047,79.845283,1,0,1,1,0,16,day,2,0,0,Low,High,Low,High,Low,Low,High
Bentota Beach,6.426614,79.997998,4,1,1,1,0,13,day,2,0,0,Medium,Low,Low,Low,Low,Low,Low
Polonnaruwa,7.943097,81.017555,11,0,1,1,0,13,day,4,0,0,Low,Medium,High,Low,Low,Low,Low
Kuruduwaththa Station,6.921381,79.870585,1,0,1,0,1,13,day,1,0,0,Low,Medium,Low,Medium,Low,Low,Medium
Pettah Station,6.94175,79.855838,1,0,1,0,1,14,day,1,0,0,Low,Medium,Low,Medium,Low,Low,Medium
Kandy Station,7.289332,80.638162,2,0,1,0,1,8,day,5,1,1,Low,Medium,Low,Medium,Low,Low,Low
Galle Fort,6.031711,80.210778,3,0,1,1,0,7,day,6,1,1,Low,Low,Medium,Low,Low,Low,Low
Polonnaruwa,7.939135,81.017883,11,0,1,1,0,8,day,5,1,0,Low,Low,High,Low,Low,Low,Low
Ella Station,6.871736,81.040365,8,0,1,1,1,2,night,0,0,0,Low,Low,Low,Low,Medium,Low,Low
Bandarawela Railway Station,6.835334,80.985127,18,0,1,0,1,19,night,0,0,1,Low,Low,Low,Medium,Low,Low,Low
Galle Fort Market,6.031479,80.216939,3,0,1,1,0,11,day,6,1,0,Low,High,Low,Low,Low,Low,High
Kandy City Centre,7.297604,80.634704,2,0,1,1,0,17,day,6,1,0,Low,High,Low,Medium,Low,Low,High
Sigiriya,7.952399,80.757363,10,0,1,1,0,9,day,6,1,1,Low,Low,Medium,Low,Low,Low,Low
Galkissa Beach,6.844853,79.867959,9,1,1,1,0,22,night,3,0,0,High,Low,Low,Low,High,Medium,Low
Haputale Railway Station,6.765817,80.97077,19,0,1,1,1,19,night,1,0,0,Low,High,Low,High,Low,Low,Medium
Mount Lavinia Station,6.845689,79.864182,9,1,1,1,1,8,day,0,0,1,Low,Low,Low,Medium,Low,Low,Low
Kollupitiya,6.914532,79.851014,1,0,1,1,0,12,day,6,1,0,Low,High,Medium,High,Low,Low,High
Mirissa Beach,5.948557,80.463215,4,1,1,1,0,17,day,6,1,0,High,Low,Low,Low,Medium,Low,Low
Kollupitiya,6.910143,79.842108,1,0,1,1,0,11,day,6,1,0,Low,High,Low,Low,Low,Low,High
Kollupitiya,6.913402,79.852381,1,0,1,1,0,8,day,1,0,0,Low,Medium,Low,Low,Low,Low,Medium
Colombo Fort Station,6.933835,79.848472,1,0,1,0,1,9,day,1,0,0,Low,High,Low,High,Low,Low,Medium
Temple of Tooth,7.29255,80.640911,2,0,1,1,0,17,day,0,0,0,Low,Medium,Medium,Low,Low,Low,Low
Hikkaduwa Beach,6.133639,80.101812,4,1,1,1,0,19,night,6,1,0,High,Low,Low,Low,Medium,Low,Low
Hatton Railway Station,6.892431,80.594229,17,0,1,1,1,9,day,2,0,1,Low,Low,Low,Medium,Low,Low,Low
Kuruduwaththa Station,6.920332,79.868121,1,0,1,0,1,6,day,1,0,1,Low,Low,Low,Medium,Low,Low,Low
Kuruduwaththa Station,6.921482,79.861436,1,0,1,0,1,9,day,2,0,0,Low,High,Low,High,Low,Low,Medium
Pasikuda Beach,7.932531,81.548386,6,1,0,1,0,21,night,6,1,0,Medium,Low,Low,Low,Low,Low,Low
Unawatuna Beach,6.010936,80.251375,4,1,1,1,0,1,night,2,0,0,High,Low,Low,Low,High,Medium,Low
Galle Fort Market,6.03447,80.215255,3,0,1,1,0,16,day,6,1,1,Low,Medium,Low,Low,Low,Low,Medium
Haputale Railway Station,6.767673,80.961288,19,0,1,1,1,13,day,3,0,0,Low,Medium,Low,Medium,Low,Low,Medium
Polonnaruwa,7.940283,81.022336,11,0,1,1,0,14,day,1,0,1,Low,Low,Medium,Low,Low,Low,Low
Pettah Market,6.945106,79.855059,1,0,1,1,0,12,day,6,1,0,Low,High,Medium,High,Low,Low,High
Unawatuna Beach,6.006087,80.253767,4,1,1,1,0,17,day,1,0,0,Medium,Low,Low,Low,Medium,Low,Low
Temple of Tooth,7.289111,80.637562,2,0,1,1,0,11,day,5,1,0,Low,Low,High,Low,Low,Low,Low
Mount Lavinia Station,6.84516,79.865065,9,1,1,1,1,13,day,2,0,0,Low,Medium,Low,Medium,Low,Low,Medium
Galle Fort Market,6.029393,80.223289,3,0,1,1,0,11,day,6,1,0,Low,High,Low,Low,Low,Low,High
Galle Fort Market,6.029602,80.219806,3,0,1,1,0,16,day,3,0,0,Low,High,Low,High,Low,Low,High
Colombo Fort Station,6.932725,79.847337,1,0,1,0,1,11,day,6,1,0,Low,High,Low,High,Low,Low,Medium
Kaluthara Beach,6.586273,79.954713,4,1,1,1,0,15,day,2,0,0,Medium,Low,Low,Low,Low,Low,Low
Ella Station,6.866304,81.044529,8,0,1,1,1,10,day,2,0,1,Low,Low,Low,Medium,Low,Low,Low
Kuruduwaththa Station,6.919796,79.871092,1,0,1,0,1,11,day,4,0,0,Low,High,Low,High,Low,Low,Medium
Haputale Railway Station,6.768226,80.965409,19,0,1,1,1,3,night,6,1,0,Low,Low,Low,Medium,Medium,Low,Low
Negombo Beach,7.21242,79.831218,5,1,1,1,0,13,day,1,0,0,Medium,Low,Low,Low,Low,Low,Low
Hatton Railway Station,6.888778,80.59961,17,0,1,1,1,10,day,3,0,1,Low,Low,Low,Medium,Low,Low,Low
Temple of Tooth,7.29191,80.643296,2,0,1,1,0,5,night,2,0,1,Low,Low,Medium,Low,Low,Low,Low
Mirissa Beach,5.946833,80.453063,4,1,1,1,0,17,day,6,1,0,High,Low,Low,Low,Medium,Low,Low
Kuruduwaththa Station,6.920463,79.86899,1,0,1,0,1,1,night,3,0,0,Low,Low,Low,Low,Medium,Low,Low
Ella Station,6.870361,81.04287,8,0,1,1,1,17,day,2,0,1,Low,Low,Low,Medium,Low,Low,Low
Colombo Fort Station,6.931213,79.852702,1,0,1,0,1,11,day,5,1,0,Low,High,Low,High,Low,Low,Medium
Dambulla Cave,7.858744,80.644839,10,0,1,1,0,14,day,6,1,0,Low,Medium,High,Low,Low,Low,Low
Hatton Railway Station,6.893119,80.595563,17,0,1,1,1,13,day,2,0,0,Low,Medium,Low,Medium,Low,Low,Medium
Haputale Railway Station,6.76051,80.965748,19,0,1,1,1,13,day,6,1,0,Low,Medium,Low,High,Low,Low,Medium
Pettah Station,6.933391,79.855142,1,0,1,0,1,9,day,3,0,0,Low,High,Low,High,Low,Low,Medium
Ahungalla Beach,6.32753,80.026686,4,1,1,1,0,14,day,3,0,0,Medium,Low,Low,Low,Low,Low,Low
Ella Station,6.865123,81.046197,8,0,1,1,1,14,day,0,0,0,Low,Medium,Low,Medium,Low,Low,Medium
Kandy Station,7.295883,80.636938,2,0,1,0,1,7,day,0,0,0,Low,High,Low,High,Low,Low,Medium
Colombo Fort Station,6.925885,79.856126,1,0,1,0,1,6,day,5,1,1,Low,Medium,Low,Medium,Low,Low,Low
Unawatuna Beach,6.011271,80.250229,4,1,1,1,0,14,day,0,0,0,Medium,Low,Low,Low,Low,Low,Low
Dambulla Cave,7.854878,80.647087,10,0,1,1,0,9,day,3,0,0,Low,Low,High,Low,Low,Low,Low
Sigiriya,7.956524,80.762241,10,0,1,1,0,4,night,2,0,0,Low,Medium,Low,Low,Low,Low,Low
Unawatuna Beach,6.012423,80.252329,4,1,1,1,0,12,day,0,0,0,Medium,Low,Low,Low,Low,Low,Low
Temple of Tooth,7.292141,80.643188,2,0,1,1,0,11,day,6,1,1,Low,Low,Medium,Low,Low,Low,Low
Kandy Station,7.291878,80.6365,2,0,1,0,1,13,day,1,0,0,Low,Medium,Low,Medium,Low,Low,Medium
Mirissa Beach,5.948356,80.460341,4,1,1,1,0,4,night,6,1,0,High,Low,Low,Low,High,Medium,Low
Galkissa Beach,6.844249,79.86619,9,1,1,1,0,1,night,0,0,0,High,Low,Low,Low,High,Medium,Low
Mount Lavinia Station,6.83906,79.861831,9,1,1,1,1,7,day,1,0,0,Low,High,Low,High,Low,Low,Medium
Temple of Tooth,7.29635,80.642353,2,0,1,1,0,21,night,5,1,0,Low,Medium,Low,Low,Low,Low,Low
Ella Station,6.869237,81.047642,8,0,1,1,1,5,night,5,1,0,Low,High,Low,High,Low,Low,Medium
Galkissa Beach,6.839416,79.86757,9,1,1,1,0,14,day,2,0,0,Medium,Low,Low,Low,Low,Low,Low
Kaluthara Beach,6.581816,79.961557,4,1,1,1,0,16,day,1,0,0,Medium,Low,Low,Low,Low,Low,Low
Ella Station,6.866598,81.041316,8,0,1,1,1,20,night,1,0,1,Low,Low,Low,Medium,Low,Low,Low
Colombo Fort Station,6.93557,79.855032,1,0,1,0,1,16,day,2,0,0,Low,Medium,Low,Medium,Low,Low,Medium
Kuruduwaththa Station,6.913491,79.866417,1,0,1,0,1,22,night,2,0,0,Low,Low,Low,Low,Medium,Low,Low
Galle Fort,6.034773,80.216591,3,0,1,1,0,15,day,2,0,0,Low,Medium,High,Low,Low,Low,Low
Pettah Station,6.938966,79.852262,1,0,1,0,1,17,day,1,0,0,Low,High,Low,High,Low,Low,Medium
Sigiriya,7.955437,80.762923,10,0,1,1,0,15,day,4,0,0,Low,Medium,High,Low,Low,Low,Low
Negombo Beach,7.21234,79.839233,5,1,1,1,0,14,day,2,0,0,Medium,Low,Low,Low,Low,Low,Low
Ahungalla Beach,6.328202,80.020465,4,1,1,1,0,15,day,6,1,0,Medium,Low,Low,Low,Medium,Low,Low
Haputale Railway Station,6.768927,80.964787,19,0,1,1,1,6,day,5,1,1,Low,Medium,Low,Medium,Low,Low,Low
Kuruduwaththa Station,6.914537,79.868207,1,0,1,0,1,16,day,6,1,0,Low,Medium,Low,High,Low,Low,Medium
Sigiriya,7.958011,80.761453,10,0,1,1,0,9,day,0,0,0,Low,Low,High,Low,Low,Low,Low
Bandarawela Railway Station,6.832632,80.985107,18,0,1,0,1,14,day,5,1,0,Low,Medium,Low,High,Low,Low,Medium
Kuruduwaththa Station,6.924356,79.870042,1,0,1,0,1,7,day,6,1,0,Low,High,Low,High,Low,Low,Medium
Mount Lavinia Station,6.839011,79.864402,9,1,1,1,1,9,day,6,1,0,Low,High,Low,High,Low,Low,Medium
Temple of Tooth,7.291552,80.640435,2,0,1,1,0,10,day,6,1,1,Low,Low,Medium,Low,Low,Low,Low
Bandarawela Railway Station,6.830021,80.98256,18,0,1,0,1,14,day,0,0,0,Low,Medium,Low,Medium,Low,Low,Medium
Ahungalla Beach,6.325867,80.026974,4,1,1,1,0,17,day,4,0,0,Medium,Low,Low,Low,Medium,Low,Low
Kandy City Centre,7.293252,80.640612,2,0,1,1,0,14,day,5,1,0,Low,High,Medium,High,Low,Low,High
Pettah Station,6.936224,79.854239,1,0,1,0,1,6,day,0,0,0,Low,High,Low,High,Low,Low,Medium
Mount Lavinia Station,6.845126,79.863763,9,1,1,1,1,7,day,0,0,0,Low,High,Low,High,Low,Low,Medium
Hatton Railway Station,6.89165,80.597183,17,0,1,1,1,16,day,3,0,0,Low,Medium,Low,Medium,Low,Low,Medium
